ts_code,name,coverage_count,recent_30d_count,latest_report_date,positive_pct,negative_pct,neutral_pct,recent_positive_pct,rating_trend,eps_y1_mean,eps_y1_std,eps_y1_year,pe_y1_mean,tp_mean,tp_count,tp_change,tp_change_pct,tp_raised_count,tp_cut_count
000001.SZ,平安银行,5,5,2026-05-12,80.0,0.0,20.0,80.0,数据不足,2.24,0.04,2026.0,5.2,13.76,3,-3.8,-25.3,0,0
600893.SH,航发动力,5,4,2026-05-13,80.0,0.0,20.0,100.0,数据不足,0.22,0.02,2026.0,232.0,55.56,1,,,0,0
600977.SH,中国电影,5,0,2025-04-20,80.0,0.0,20.0,,数据不足,0.16,0.03,2024.0,78.7,12.7,3,-1.64,-12.4,0,0
600968.SH,海油发展,5,0,2025-04-28,60.0,0.0,40.0,,数据不足,0.41,0.01,2025.0,10.0,4.9,1,,,0,0
600958.SH,东方证券,5,5,2026-05-07,100.0,0.0,0.0,100.0,数据不足,0.74,0.02,2026.0,12.4,12.59,1,,,0,0
600941.SH,中国移动,5,5,2026-04-29,100.0,0.0,0.0,100.0,数据不足,6.13,0.26,2026.0,15.6,,0,,,0,0
600938.SH,中国海油,5,5,2026-05-12,100.0,0.0,0.0,100.0,数据不足,3.5,0.28,2026.0,11.5,,0,,,0,0
600930.SH,华电新能,5,2,2026-04-30,20.0,0.0,80.0,50.0,升级,0.19,0.03,2025.0,33.0,7.0,1,,,0,0
600926.SH,杭州银行,5,5,2026-05-04,100.0,0.0,0.0,100.0,数据不足,2.92,0.02,2026.0,6.1,19.08,1,,,0,0
600919.SH,江苏银行,5,5,2026-05-15,100.0,0.0,0.0,100.0,数据不足,2.04,0.02,2026.0,5.7,13.9,1,,,0,0
600918.SH,中泰证券,5,0,2026-04-02,100.0,0.0,0.0,,数据不足,0.22,0.03,2025.0,30.2,7.42,2,-0.03,-0.4,0,1
600905.SH,三峡能源,5,3,2026-05-13,100.0,0.0,0.0,100.0,稳定,0.16,0.04,2026.0,26.9,4.96,2,-0.04,-0.8,0,0
600900.SH,长江电力,5,5,2026-05-13,100.0,0.0,0.0,100.0,数据不足,1.5,0.02,2026.0,18.1,35.36,2,2.73,8.0,0,0
600887.SH,伊利股份,5,5,2026-05-15,100.0,0.0,0.0,100.0,数据不足,1.94,0.01,2026.0,14.3,36.86,3,-4.3,-11.0,0,0
600998.SH,九州通,5,0,2025-05-08,80.0,0.0,20.0,,数据不足,0.56,0.03,2025.0,9.4,6.84,1,,,0,0
