日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,300131,152.49,154.25,154.6,149.68,398918,335592416.0,3.24,1.51,2.29,4.72
2021-01-05,300131,152.31,160.23,160.93,150.91,668281,571851936.0,6.5,3.88,5.98,7.9
2021-01-06,300131,158.64,148.97,158.64,148.09,654849,549915136.0,6.58,-7.03,-11.26,7.74
2021-01-07,300131,149.33,141.94,150.2,140.71,520170,410747424.0,6.37,-4.72,-7.03,6.15
2021-01-08,300131,141.24,145.81,147.92,135.26,459805,362856096.0,8.92,2.73,3.87,5.43
2021-01-11,300131,143.87,142.12,149.33,141.06,368028,293927920.0,5.67,-2.53,-3.69,4.35
2021-01-12,300131,142.29,141.59,145.11,139.48,288654,224452631.0,3.96,-0.37,-0.53,3.41
2021-01-13,300131,141.06,136.49,141.06,135.96,344931,260492630.0,3.6,-3.6,-5.1,4.08
2021-01-14,300131,136.84,144.58,148.97,136.31,637578,503304384.0,9.28,5.93,8.09,7.54
2021-01-15,300131,143.7,148.09,149.33,143.17,454056,366493696.0,4.26,2.43,3.51,5.37
2021-01-18,300131,154.42,150.73,155.65,149.33,542414,452194784.0,4.27,1.78,2.64,6.41
2021-01-19,300131,147.22,144.75,149.5,144.05,465430,375198288.0,3.62,-3.97,-5.98,5.5
2021-01-20,300131,143.35,144.93,148.62,141.59,368035,293890128.0,4.86,0.12,0.18,4.35
2021-01-21,300131,146.16,154.07,156.53,145.63,739015,620031616.0,7.52,6.31,9.14,8.74
2021-01-22,300131,153.54,149.33,155.13,148.45,500981,415904176.0,4.34,-3.08,-4.74,5.92
2021-01-25,300131,148.09,143.87,148.62,143.35,391438,313348800.0,3.53,-3.66,-5.46,4.63
2021-01-26,300131,143.52,139.83,146.16,139.13,358330,278885936.0,4.89,-2.81,-4.04,4.24
2021-01-27,300131,139.65,138.07,141.41,137.54,269174,205471475.0,2.77,-1.26,-1.76,3.18
2021-01-28,300131,136.67,131.57,138.6,129.98,396524,290537264.0,6.24,-4.71,-6.5,4.69
2021-01-29,300131,135.26,132.8,139.48,131.21,370132,271841920.0,6.29,0.93,1.23,4.38
2021-02-01,300131,132.97,130.86,132.97,128.75,267261,190569930.0,3.18,-1.46,-1.94,3.16
